Date,NAV (CAD),Market price (CAD)
Mar 07 2025,$147.2612,$147.3700
Mar 06 2025,$145.8448,$145.8100
Mar 05 2025,$148.8868,$148.8000
Mar 04 2025,$148.5961,$148.6000
Mar 03 2025,$150.7359,$150.7000
Feb 28 2025,$152.9867,$153.0000
Feb 27 2025,$150.3651,$150.3300
Feb 26 2025,$151.7926,$151.7100
Feb 25 2025,$151.3706,$151.3400
Feb 24 2025,$151.6274,$151.5000
Feb 21 2025,$151.9750,$151.9500
Feb 20 2025,$154.0189,$154.0300
Feb 19 2025,$155.2094,$155.2100
Feb 18 2025,$154.4271,$154.3500
Feb 14 2025,$153.7878,$153.8500
Feb 13 2025,$153.9507,$153.9400
Feb 12 2025,$153.4158,$153.3900
Feb 11 2025,$153.9302,$153.9200
Feb 10 2025,$154.0452,$154.0000
Feb 07 2025,$152.5885,$152.7400
Feb 06 2025,$154.3885,$154.3400
Feb 05 2025,$153.9318,$153.9600
Feb 04 2025,$153.3514,$153.3800
Feb 03 2025,$155.0106,$154.9400
Jan 31 2025,$155.6598,$155.7800
Jan 30 2025,$155.9517,$155.9600
Jan 29 2025,$154.5367,$154.5000
Jan 28 2025,$154.9062,$154.9400
Jan 27 2025,$153.3630,$153.3100
Jan 24 2025,$155.2359,$155.2300
Jan 23 2025,$156.0310,$155.9500
Jan 22 2025,$155.2956,$155.3000
Jan 21 2025,$153.8767,$153.7900
Jan 20 2025,$152.2076,$153.9000
Jan 17 2025,$153.8726,$153.9000
Jan 16 2025,$151.6791,$151.5800
Jan 15 2025,$151.1719,$151.1800
Jan 14 2025,$148.7783,$148.8000
Jan 13 2025,$148.9931,$149.0200
Jan 10 2025,$149.1218,$149.0500
Jan 09 2025,$150.9958,$150.7600
Jan 08 2025,$150.9332,$150.9200
Jan 07 2025,$150.4892,$150.4500
Jan 06 2025,$151.9259,$151.7700
Jan 03 2025,$152.2431,$152.2500
Jan 02 2025,$149.8139,$149.9900
Dec 31 2024,$149.9246,$149.9900
Dec 30 2024,$150.3010,$150.3500
Dec 27 2024,$153.0777,$153.0500
Dec 24 2024,$154.2396,$154.2500
Dec 23 2024,$152.6297,$152.5900
Dec 20 2024,$151.6107,$151.6700
Dec 19 2024,$150.1438,$150.0900
Dec 18 2024,$150.6172,$150.9000
Dec 17 2024,$153.8832,$153.9100
Dec 16 2024,$153.8515,$153.8800
Dec 13 2024,$153.1541,$153.1400
Dec 12 2024,$153.0148,$153.0300
Dec 11 2024,$153.1324,$153.1100
Dec 10 2024,$152.0831,$152.0100
Dec 09 2024,$152.5061,$152.4600
Dec 06 2024,$153.0779,$153.0800
Dec 05 2024,$151.4516,$151.4300
Dec 04 2024,$152.0937,$152.0300
Dec 03 2024,$151.1787,$151.1800
Dec 02 2024,$150.8964,$150.8800
Nov 29 2024,$150.0016,$150.3600
Nov 28 2024,$149.3598,$149.7800
Nov 27 2024,$149.4506,$149.4200
Nov 26 2024,$150.3936,$150.4300
Nov 25 2024,$148.6356,$148.6800
Nov 22 2024,$148.1176,$148.1700
Nov 21 2024,$147.5383,$147.5700
Nov 20 2024,$146.9343,$146.8400
Nov 19 2024,$146.6914,$146.6600
Nov 18 2024,$146.6930,$146.6700
Nov 15 2024,$146.8705,$146.9000
Nov 14 2024,$148.4738,$148.4500
Nov 13 2024,$148.7914,$148.7700
Nov 12 2024,$148.0785,$148.0500
Nov 11 2024,$148.3641,$148.3600
Nov 08 2024,$148.1317,$148.0700
Nov 07 2024,$146.9290,$146.9500
Nov 06 2024,$146.5935,$146.6500
Nov 05 2024,$141.9962,$141.9700
Nov 04 2024,$140.9681,$140.9500
Nov 01 2024,$141.8343,$141.8800
Oct 31 2024,$140.8771,$140.9100
Oct 30 2024,$143.4670,$143.3700
Oct 29 2024,$144.0660,$144.0600
Oct 28 2024,$143.5582,$143.5200
Oct 25 2024,$143.1950,$143.1900
Oct 24 2024,$142.7930,$142.7800
Oct 23 2024,$142.3018,$142.3100
Oct 22 2024,$143.4560,$143.4700
Oct 21 2024,$143.7006,$143.7000
Oct 18 2024,$143.6219,$143.6000
Oct 17 2024,$142.9990,$143.0100
Oct 16 2024,$142.4702,$142.4700
Oct 15 2024,$142.2251,$142.1900
Oct 11 2024,$141.9219,$141.9400
Oct 10 2024,$140.8780,$140.8600
Oct 09 2024,$140.8018,$140.8300
Oct 08 2024,$139.1940,$139.2000
Oct 07 2024,$137.6620,$137.6000
Oct 04 2024,$138.3876,$138.3900
Oct 03 2024,$136.9726,$136.9900
Oct 02 2024,$136.6102,$136.6000
Oct 01 2024,$136.5363,$136.5100
Sep 30 2024,$138.1559,$138.0500
Sep 27 2024,$137.4859,$137.4400
Sep 26 2024,$137.6104,$137.6800
Sep 25 2024,$137.2131,$137.2300
Sep 24 2024,$136.9880,$137.0000
Sep 23 2024,$137.3274,$137.3300
Sep 20 2024,$137.5637,$137.5000
Sep 19 2024,$137.7582,$137.6900
Sep 18 2024,$136.0109,$136.0200
Sep 17 2024,$136.2535,$136.2100
Sep 16 2024,$136.0604,$136.0400
Sep 13 2024,$135.9059,$135.8700
Sep 12 2024,$135.0686,$135.0000
Sep 11 2024,$133.8190,$133.8800
Sep 10 2024,$132.7862,$132.8100
Sep 09 2024,$131.8720,$131.8100
Sep 06 2024,$130.4050,$130.3700
Sep 05 2024,$132.0852,$132.0000
Sep 04 2024,$132.4613,$132.5300
Sep 03 2024,$133.1546,$133.0500
Aug 30 2024,$135.1522,$135.1900
Aug 29 2024,$133.9918,$133.9600
Aug 28 2024,$133.9116,$133.9200
Aug 27 2024,$134.3369,$134.3400
